,order_id,order_estimated_delivery_date,order_delivered_customer_date,atraso_medio_dias
34,e7fc47a9bd5fd8c1d1b566d1553be0f4,2017-06-07 00:00:00+00:00,2017-09-19 13:38:16+00:00,104
35,0b7b12a402b064d880d3cb31051f6d29,2018-01-05 00:00:00+00:00,2018-04-19 21:18:52+00:00,104
36,c2a550cc5f966506b717532441c221e5,2018-02-08 00:00:00+00:00,2018-05-23 20:56:25+00:00,104
37,a6a6c002fd9f0e9eb0c0148448cf8863,2018-03-01 00:00:00+00:00,2018-06-13 15:57:49+00:00,104
38,28f12a3e5117f5e70bbdb45be9188639,2017-06-07 00:00:00+00:00,2017-09-19 16:38:49+00:00,104
39,da81fbc27b55e0f3d2813cf2078dc780,2017-12-11 00:00:00+00:00,2018-03-21 00:18:54+00:00,100
40,5fc65d39393a0107a062195fdc96ad34,2017-09-12 00:00:00+00:00,2017-12-18 23:19:20+00:00,97
41,773f048245dc975a5f7c67c2415c88a0,2018-02-23 00:00:00+00:00,2018-05-30 16:56:49+00:00,96
42,7e708aed151d6a8601ce8f2eaa712bf4,2018-07-13 00:00:00+00:00,2018-10-17 13:22:46+00:00,96
43,d8dbb44d7c5b1fd8e7f41b49e27053d7,2018-05-16 00:00:00+00:00,2018-08-20 17:14:55+00:00,96
44,b7624f6b70f7b79ea2b092b6f1be678c,2017-03-10 00:00:00+00:00,2017-06-14 14:42:22+00:00,96
45,29c3b79aace1b72a82b1232bf494e16f,2018-01-24 00:00:00+00:00,2018-04-28 15:51:50+00:00,94
46,8b7fd198ad184563c231653673e75a7f,2017-11-28 00:00:00+00:00,2018-02-27 18:05:08+00:00,91
47,e7b87b156cde9f1d3a765da80d093d6a,2017-11-13 00:00:00+00:00,2018-02-09 14:19:09+00:00,88
48,6e3a1f3ec46461756c3f620e267aa1b8,2017-12-12 00:00:00+00:00,2018-03-07 20:09:25+00:00,85
49,357f2ad2d9ea3e63b225cfee8ad3b2a1,2018-01-26 00:00:00+00:00,2018-04-19 13:52:37+00:00,83
50,79366f316d691e60b576d0a9b45b4ba6,2017-06-29 00:00:00+00:00,2017-09-19 14:57:53+00:00,82
51,094a83226235244840060fafa394845d,2018-01-12 00:00:00+00:00,2018-04-03 18:47:29+00:00,81
52,160d1364f477494647a995f6bbec0b5f,2018-05-07 00:00:00+00:00,2018-07-27 15:16:57+00:00,81
53,97f48024fcc76f1898e397ad6966e3a0,2017-12-26 00:00:00+00:00,2018-03-16 13:58:10+00:00,80
54,3b919fbc512d96f81330d2aae3ed0cf6,2018-05-14 00:00:00+00:00,2018-08-01 22:15:02+00:00,79
55,e52c9dfec957c503bed5d050a39c740f,2018-01-08 00:00:00+00:00,2018-03-27 01:57:14+00:00,78
56,4a580bca631a940ffc9e25c96da01773,2017-08-23 00:00:00+00:00,2017-11-09 18:08:54+00:00,78
57,f83bab059faa2a4560be63dad351763a,2018-02-01 00:00:00+00:00,2018-04-19 14:32:49+00:00,77
58,b02f16483f20ca4c7d1d5b147eca4c79,2017-04-17 00:00:00+00:00,2017-07-03 14:32:56+00:00,77
59,e2af4ae300d48b96b78846e01a26c034,2018-04-03 00:00:00+00:00,2018-06-18 17:38:55+00:00,76
